"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.604161493E1,-9.089735031E0,2.440679073E-1,-4.871787071E0
4.605161493E1,-8.946763992E0,2.309073806E-1,-4.968098164E0
4.606161493E1,-9.656833649E0,-3.690928817E-1,-4.811367989E0
4.607161493E1,-1.058285618E1,-9.517452121E-1,-4.686941147E0
4.608161493E1,-1.165962696E1,-1.616949916E0,-4.380061626E0
4.609161493E1,-1.277886963E1,-1.950150490E0,-3.359523058E0
4.610161493E1,-1.348714447E1,-1.622931957E0,-1.960319996E0
4.611161493E1,-1.364327621E1,-7.561319470E-1,-1.045663476E0
4.612161493E1,-1.376770306E1,-6.999006122E-2,1.800599098E-1
4.613161493E1,-1.319043446E1,1.878365725E-1,1.243071318E0
4.614161493E1,-1.268315601E1,2.889333367E-1,1.539183140E0
4.615161493E1,-1.201256752E1,2.673979402E-1,1.759921074E0
4.616161493E1,-1.156989574E1,-5.862415582E-2,1.750349760E0
4.617161493E1,-1.144666576E1,-4.522434771E-1,8.793623447E-1
4.618161493E1,-1.162193966E1,-6.622136831E-1,-1.142572835E-1
4.619161493E1,-1.185464191E1,-1.002592683E0,-1.364507079E0
4.620161493E1,-1.189292717E1,-1.310668588E0,-1.881955028E0
4.621161493E1,-1.189292717E1,-1.238883972E0,-1.768295884E0
4.622161493E1,-1.178405285E1,-9.882357717E-1,-1.446461320E0
4.623161493E1,-1.131266689E1,-5.180460811E-1,-9.804590940E-1
4.624161493E1,-1.062114143E1,-1.519442350E-1,-6.346961856E-1
4.625161493E1,-1.009172916E1,6.400800496E-2,-5.156532526E-1
4.626161493E1,-9.500103951E0,1.896311939E-1,-4.438686073E-1
4.627161493E1,-9.052646637E0,3.469592929E-1,-5.192425251E-1
4.628161493E1,-8.762516975E0,3.008974493E-1,-8.111668825E-1
4.629161493E1,-8.630910873E0,3.732803464E-1,-1.089332461E0
4.630161493E1,-8.502297401E0,2.398804724E-1,-1.446461320E0
4.631161493E1,-8.446663857E0,2.775674164E-1,-1.733600020E0
4.632161493E1,-8.445467949E0,1.339980662E-1,-1.794616938E0
